"Data";"cod_rgi";"UF";"Admissões";"Demissões"
"2004-01-01";110001;"RO";4944;5860
"2004-01-01";110002;"RO";841;1545
"2004-01-01";110003;"RO";340;557
"2004-01-01";110004;"RO";1128;1561
"2004-01-01";110005;"RO";1328;1887
"2004-01-01";110006;"RO";811;1060
"2004-01-01";120001;"AC";1597;2175
"2004-01-01";120002;"AC";86;68
"2004-01-01";120003;"AC";24;110
"2004-01-01";120004;"AC";109;412
"2004-01-01";120005;"AC";21;67
"2004-01-01";130001;"AM";11409;18683
"2004-01-01";130002;"AM";1;5
"2004-01-01";130003;"AM";39;19
"2004-01-01";130004;"AM";42;64
"2004-01-01";130005;"AM";13;17
"2004-01-01";130006;"AM";14;40
"2004-01-01";130007;"AM";1;1
"2004-01-01";130008;"AM";5;37
"2004-01-01";130009;"AM";21;51
"2004-01-01";130010;"AM";37;80
"2004-01-01";130011;"AM";339;111
"2004-01-01";140001;"RR";1122;1273
"2004-01-01";140002;"RR";3;6
"2004-01-01";140003;"RR";24;29
"2004-01-01";140004;"RR";11;10
"2004-01-01";150001;"PA";10391;12462
"2004-01-01";150002;"PA";25;28
"2004-01-01";150003;"PA";572;517
"2004-01-01";150004;"PA";993;1130
"2004-01-01";150005;"PA";48;79
"2004-01-01";150006;"PA";188;180
"2004-01-01";150007;"PA";1077;1287
"2004-01-01";150008;"PA";39;37
"2004-01-01";150009;"PA";1396;1897
"2004-01-01";150010;"PA";2506;2618
"2004-01-01";150011;"PA";434;1488
"2004-01-01";150012;"PA";560;903
"2004-01-01";150013;"PA";360;464
"2004-01-01";150014;"PA";326;498
"2004-01-01";150015;"PA";519;671
"2004-01-01";150016;"PA";113;317
"2004-01-01";150017;"PA";239;216
"2004-01-01";150018;"PA";249;474
"2004-01-01";150019;"PA";144;404
"2004-01-01";150020;"PA";92;223
"2004-01-01";150021;"PA";8;14
"2004-01-01";160001;"AP";1328;1666
"2004-01-01";160002;"AP";28;37
"2004-01-01";160003;"AP";58;88
"2004-01-01";160004;"AP";87;67
"2004-01-01";170001;"TO";1376;1907
"2004-01-01";170002;"TO";229;446
"2004-01-01";170003;"TO";257;349
"2004-01-01";170004;"TO";57;142
"2004-01-01";170005;"TO";1178;1243
"2004-01-01";170006;"TO";144;467
"2004-01-01";170007;"TO";84;203
"2004-01-01";170008;"TO";24;354
"2004-01-01";170009;"TO";117;74
"2004-01-01";170010;"TO";518;1374
"2004-01-01";170011;"TO";102;106
"2004-01-01";210001;"MA";7578;7939
"2004-01-01";210002;"MA";33;114
"2004-01-01";210003;"MA";152;170
"2004-01-01";210004;"MA";81;72
"2004-01-01";210005;"MA";34;24
