"month","UF","admissions","dismissals","source"
"2007-01","AC",1237,1556,"CAGED"
"2007-01","AL",6858,9420,"CAGED"
"2007-01","AM",12655,11801,"CAGED"
"2007-01","AP",1268,1425,"CAGED"
"2007-01","BA",41989,38516,"CAGED"
"2007-01","CE",22269,26625,"CAGED"
"2007-01","DF",16997,16721,"CAGED"
"2007-01","ES",26042,24212,"CAGED"
"2007-01","GO",39985,29693,"CAGED"
"2007-01","MA",8426,8678,"CAGED"
"2007-01","MG",132685,125451,"CAGED"
"2007-01","MS",18265,13447,"CAGED"
"2007-01","MT",23249,16629,"CAGED"
"2007-01","PA",17678,19618,"CAGED"
"2007-01","PB",6630,13033,"CAGED"
"2007-01","PE",24520,34242,"CAGED"
"2007-01","PI",4746,4677,"CAGED"
"2007-01","PR",82992,74128,"CAGED"
"2007-01","RJ",94165,93976,"CAGED"
"2007-01","RN",11840,14467,"CAGED"
"2007-01","RO",5685,5555,"CAGED"
"2007-01","RR",654,552,"CAGED"
"2007-01","RS",82548,67628,"CAGED"
"2007-01","SC",73558,59169,"CAGED"
"2007-01","SE",5573,5458,"CAGED"
"2007-01","SP",377717,318545,"CAGED"
"2007-01","TO",3812,3353,"CAGED"
"2007-02","AC",1198,1248,"CAGED"
"2007-02","AL",4704,15601,"CAGED"
"2007-02","AM",11631,10907,"CAGED"
"2007-02","AP",1499,1169,"CAGED"
"2007-02","BA",35906,34300,"CAGED"
"2007-02","CE",21180,21769,"CAGED"
"2007-02","DF",16809,18240,"CAGED"
"2007-02","ES",26028,25804,"CAGED"
"2007-02","GO",36418,28403,"CAGED"
"2007-02","MA",8624,6731,"CAGED"
"2007-02","MG",133944,116492,"CAGED"
"2007-02","MS",15464,12829,"CAGED"
"2007-02","MT",24568,16308,"CAGED"
"2007-02","PA",17982,16149,"CAGED"
"2007-02","PB",6409,7745,"CAGED"
"2007-02","PE",20808,36996,"CAGED"
"2007-02","PI",4468,4845,"CAGED"
"2007-02","PR",87804,73847,"CAGED"
"2007-02","RJ",86942,77722,"CAGED"
"2007-02","RN",9173,10804,"CAGED"
"2007-02","RO",6384,5537,"CAGED"
"2007-02","RR",717,589,"CAGED"
"2007-02","RS",83624,69981,"CAGED"
"2007-02","SC",77296,62613,"CAGED"
"2007-02","SE",5636,4923,"CAGED"
"2007-02","SP",388607,305197,"CAGED"
"2007-02","TO",3914,2969,"CAGED"
"2007-03","AC",1550,1263,"CAGED"
"2007-03","AL",5162,21707,"CAGED"
"2007-03","AM",13330,10671,"CAGED"
"2007-03","AP",1245,1173,"CAGED"
"2007-03","BA",46783,38817,"CAGED"
"2007-03","CE",21169,21369,"CAGED"
"2007-03","DF",18706,21785,"CAGED"
"2007-03","ES",31090,26183,"CAGED"
"2007-03","GO",39347,32250,"CAGED"
"2007-03","MA",8306,7369,"CAGED"
"2007-03","MG",157399,133356,"CAGED"
"2007-03","MS",21278,15755,"CAGED"
"2007-03","MT",23978,20734,"CAGED"
"2007-03","PA",18666,19035,"CAGED"
"2007-03","PB",7140,7112,"CAGED"
"2007-03","PE",24395,25590,"CAGED"
"2007-03","PI",4562,4687,"CAGED"
"2007-03","PR",102251,82161,"CAGED"
"2007-03","RJ",101394,90698,"CAGED"
"2007-03","RN",10750,11912,"CAGED"
"2007-03","RO",6861,5693,"CAGED"
"2007-03","RR",676,593,"CAGED"
"2007-03","RS",96385,87459,"CAGED"
"2007-03","SC",76477,71726,"CAGED"
"2007-03","SE",5665,7200,"CAGED"
"2007-03","SP",406976,339753,"CAGED"
"2007-03","TO",4089,3438,"CAGED"
"2007-04","AC",1489,1092,"CAGED"
"2007-04","AL",6388,13180,"CAGED"
"2007-04","AM",13369,10207,"CAGED"
"2007-04","AP",1090,970,"CAGED"
"2007-04","BA",46807,36215,"CAGED"
"2007-04","CE",22382,18349,"CAGED"
"2007-04","DF",17079,13232,"CAGED"
"2007-04","ES",32998,22205,"CAGED"
"2007-04","GO",39342,32013,"CAGED"
"2007-04","MA",9218,6903,"CAGED"
"2007-04","MG",157158,118385,"CAGED"
"2007-04","MS",18383,13870,"CAGED"
"2007-04","MT",25126,20040,"CAGED"
"2007-04","PA",18998,15516,"CAGED"
"2007-04","PB",7004,4900,"CAGED"
"2007-04","PE",27525,22790,"CAGED"
"2007-04","PI",4845,3699,"CAGED"
"2007-04","PR",100822,73344,"CAGED"
"2007-04","RJ",99945,80359,"CAGED"
"2007-04","RN",10505,9367,"CAGED"
"2007-04","RO",6203,4971,"CAGED"
"2007-04","RR",837,768,"CAGED"
"2007-04","RS",87689,72681,"CAGED"
"2007-04","SC",69487,59728,"CAGED"
"2007-04","SE",6406,5251,"CAGED"
"2007-04","SP",437390,307970,"CAGED"
"2007-04","TO",4466,2955,"CAGED"
"2007-05","AC",1356,1355,"CAGED"
"2007-05","AL",6505,6026,"CAGED"
"2007-05","AM",14240,12131,"CAGED"
"2007-05","AP",1593,1344,"CAGED"
"2007-05","BA",50013,40687,"CAGED"
"2007-05","CE",24628,21792,"CAGED"
"2007-05","DF",18785,18200,"CAGED"
"2007-05","ES",36066,30860,"CAGED"
"2007-05","GO",43582,34965,"CAGED"
"2007-05","MA",10238,7929,"CAGED"
"2007-05","MG",188493,135504,"CAGED"
"2007-05","MS",14946,15574,"CAGED"
"2007-05","MT",23770,21619,"CAGED"
"2007-05","PA",20892,18495,"CAGED"
"2007-05","PB",7367,5921,"CAGED"
"2007-05","PE",34007,22651,"CAGED"
"2007-05","PI",5496,4370,"CAGED"
"2007-05","PR",94443,78083,"CAGED"
"2007-05","RJ",98928,87778,"CAGED"
"2007-05","RN",11917,10958,"CAGED"
"2007-05","RO",7629,6115,"CAGED"
"2007-05","RR",1077,672,"CAGED"
"2007-05","RS",77734,81116,"CAGED"
"2007-05","SC",65361,65481,"CAGED"
"2007-05","SE",5922,5846,"CAGED"
"2007-05","SP",423591,342124,"CAGED"
"2007-05","TO",4918,3684,"CAGED"
"2007-06","AC",1567,1113,"CAGED"
"2007-06","AL",6512,5165,"CAGED"
"2007-06","AM",13558,11216,"CAGED"
"2007-06","AP",1531,1544,"CAGED"
"2007-06","BA",47845,41167,"CAGED"
"2007-06","CE",23583,20916,"CAGED"
"2007-06","DF",17319,15868,"CAGED"
"2007-06","ES",27768,31044,"CAGED"
"2007-06","GO",38823,31587,"CAGED"
"2007-06","MA",10179,7709,"CAGED"
"2007-06","MG",178178,132098,"CAGED"
"2007-06","MS",14000,13702,"CAGED"
"2007-06","MT",24789,18636,"CAGED"
"2007-06","PA",21277,18367,"CAGED"
"2007-06","PB",6043,5738,"CAGED"
"2007-06","PE",29070,20216,"CAGED"
"2007-06","PI",5359,4759,"CAGED"
"2007-06","PR",84925,76459,"CAGED"
"2007-06","RJ",97551,84564,"CAGED"
"2007-06","RN",12152,9713,"CAGED"
"2007-06","RO",7001,5644,"CAGED"
"2007-06","RR",636,725,"CAGED"
"2007-06","RS",70220,71352,"CAGED"
"2007-06","SC",60745,57686,"CAGED"
"2007-06","SE",6760,5392,"CAGED"
"2007-06","SP",385646,320163,"CAGED"
"2007-06","TO",4572,3399,"CAGED"
"2007-07","AC",1631,1623,"CAGED"
"2007-07","AL",8225,5116,"CAGED"
"2007-07","AM",14219,11945,"CAGED"
"2007-07","AP",1779,1392,"CAGED"
"2007-07","BA",45354,38967,"CAGED"
"2007-07","CE",26276,19912,"CAGED"
"2007-07","DF",18350,16178,"CAGED"
"2007-07","ES",28229,26493,"CAGED"
"2007-07","GO",35912,33124,"CAGED"
"2007-07","MA",9625,8076,"CAGED"
"2007-07","MG",159531,158901,"CAGED"
"2007-07","MS",14660,16334,"CAGED"
"2007-07","MT",21872,19983,"CAGED"
"2007-07","PA",23480,16550,"CAGED"
"2007-07","PB",9153,6209,"CAGED"
"2007-07","PE",26261,24308,"CAGED"
"2007-07","PI",5083,4428,"CAGED"
"2007-07","PR",87636,77568,"CAGED"
"2007-07","RJ",98870,90133,"CAGED"
"2007-07","RN",14105,10169,"CAGED"
"2007-07","RO",7553,5932,"CAGED"
"2007-07","RR",842,763,"CAGED"
"2007-07","RS",73812,75502,"CAGED"
"2007-07","SC",64255,60940,"CAGED"
"2007-07","SE",5958,5289,"CAGED"
"2007-07","SP",383400,323993,"CAGED"
"2007-07","TO",4464,3715,"CAGED"
"2007-08","AC",1452,1505,"CAGED"
"2007-08","AL",7609,7109,"CAGED"
"2007-08","AM",14900,11554,"CAGED"
"2007-08","AP",1877,1561,"CAGED"
"2007-08","BA",46042,42558,"CAGED"
"2007-08","CE",31518,21936,"CAGED"
"2007-08","DF",19945,17287,"CAGED"
"2007-08","ES",27738,27016,"CAGED"
"2007-08","GO",38986,34222,"CAGED"
"2007-08","MA",10794,8401,"CAGED"
"2007-08","MG",160623,176904,"CAGED"
"2007-08","MS",15178,14390,"CAGED"
"2007-08","MT",22428,20367,"CAGED"
"2007-08","PA",22816,17096,"CAGED"
"2007-08","PB",11662,6759,"CAGED"
"2007-08","PE",36775,24570,"CAGED"
"2007-08","PI",5785,4925,"CAGED"
"2007-08","PR",90970,78934,"CAGED"
"2007-08","RJ",100934,91958,"CAGED"
"2007-08","RN",15415,10582,"CAGED"
"2007-08","RO",7312,6517,"CAGED"
"2007-08","RR",848,787,"CAGED"
"2007-08","RS",81382,80709,"CAGED"
"2007-08","SC",70038,62897,"CAGED"
"2007-08","SE",6586,5488,"CAGED"
"2007-08","SP",399069,340020,"CAGED"
"2007-08","TO",4841,4142,"CAGED"
"2007-09","AC",1288,1085,"CAGED"
"2007-09","AL",34553,5057,"CAGED"
"2007-09","AM",13858,11030,"CAGED"
"2007-09","AP",1438,1244,"CAGED"
"2007-09","BA",42962,36420,"CAGED"
"2007-09","CE",26267,18486,"CAGED"
"2007-09","DF",18124,14939,"CAGED"
"2007-09","ES",26724,23379,"CAGED"
"2007-09","GO",36909,32783,"CAGED"
"2007-09","MA",10252,7616,"CAGED"
"2007-09","MG",143817,141559,"CAGED"
"2007-09","MS",15715,13583,"CAGED"
"2007-09","MT",23298,20207,"CAGED"
"2007-09","PA",22137,17673,"CAGED"
"2007-09","PB",8864,5409,"CAGED"
"2007-09","PE",45085,21586,"CAGED"
"2007-09","PI",6279,4073,"CAGED"
"2007-09","PR",87477,73288,"CAGED"
"2007-09","RJ",99047,78407,"CAGED"
"2007-09","RN",15199,9354,"CAGED"
"2007-09","RO",6679,5747,"CAGED"
"2007-09","RR",773,521,"CAGED"
"2007-09","RS",78433,63447,"CAGED"
"2007-09","SC",66562,54838,"CAGED"
"2007-09","SE",8232,5205,"CAGED"
"2007-09","SP",379820,302402,"CAGED"
"2007-09","TO",4495,3781,"CAGED"
